era,dapp_id,beneficiary,expected_tier,actual_tier,expected_reward,actual_reward,delta
741,33,WYYVuTdvqyhJbRApoZnVExN6BnLpehFn9kmnJpQwjz12bn3,2,2,1102325935212276316051,1102325935212276316051,0
741,35,X4Hsp6EcxNPypWidz4xuVJhoafLdpShzy5ADpLAJZdqeKwz,2,3,1102325935212276316051,89331348515903950807,1012994586696372365244
741,36,XLtah1f9vJzWKE4Sbck851ArDQus1hAEaN6jtJcNQRujcDB,3,3,89331348515903950807,89331348515903950807,0
741,37,XMAHssEGJvaFyvXYYmuWDXvzCx4oLY5tGnvPLkviMVW4AYd,3,3,89331348515903950807,89331348515903950807,0
741,38,bEKpmuoP86E9JSA5kzLHkFA9R2FHWyoX6dKX3XtvtL3rnKJ,3,3,89331348515903950807,89331348515903950807,0
741,39,ashiYo9RUjSj2f5hUbZY83FCy1ePkf54SFzD1CsZTgmC4qi,3,3,89331348515903950807,89331348515903950807,0
741,40,b9AB1qFXsw81RuTBQ1sCP6PQ6k27QXWoe7VHrv9m6iwmBRK,2,3,1102325935212276316051,89331348515903950807,1012994586696372365244
741,42,YewXn3eSdX5XKqwem27dXnbsWPtFsnzgXfdX6iNVUEGmPtw,1,1,3169511277245650960504,3169511277245650960504,0
741,47,ZZZgswWp73ymRVpMu84bNfQERLyV9XR6T6DrozRxMdwT6Ez,3,3,89331348515903950807,89331348515903950807,0
741,49,be8WtwsrvLUrJ5tA5Ht3BjKpajBMkRtYmURTa7BqNB6QZUA,2,2,1102325935212276316051,1102325935212276316051,0
741,51,YXPD211sCj2gjrePAzsTtusqBbXmHp9A56whRXonz97TGKu,2,3,1102325935212276316051,89331348515903950807,1012994586696372365244
741,52,ZfEuzYHyfo5TZfAx9fsntdkx2W4gDFLPwUNeqSrJTpQJXDc,1,1,3169511277245650960504,3169511277245650960504,0
741,53,WGYLrLw8TPjp1ynU9AiwZtanc7B2CMtB43ssKmawDwfoUsZ,3,3,89331348515903950807,89331348515903950807,0
741,57,Z72w8QNfMmbvq6VJ82yPd2giVHezNtpzVc3ZeSbCPu5j5EV,2,3,1102325935212276316051,89331348515903950807,1012994586696372365244
741,58,ZNr4n9qc5fAap57oqoSazLpqqauQLzCTVXfKgKJsBp8t4Gr,3,3,89331348515903950807,89331348515903950807,0
741,59,b1ymfVcP5vsT2ZPAWwVs6e2ecNWdFTGWfB8vzWixnyYacam,2,3,1102325935212276316051,89331348515903950807,1012994586696372365244
741,63,XAAqKgEAdKw3N6tLuJM8RhiGE4DLwSxigGqahF5UBzfFcKL,3,3,89331348515903950807,89331348515903950807,0
741,64,ZP8rbjrkyf5Qkjr32fEy3n6av2nPzHh6Egv62Vu8kgEwZ8Z,1,2,3169511277245650960504,1102325935212276316051,2067185342033374644453
741,66,YQ3S4AGrjyMndkjJuzup1fsDHYsD6EZ9BSkhzkFtNRhjDS2,3,3,89331348515903950807,89331348515903950807,0
741,67,ZqpPKt2sk2Xwd1YgYq8UvPF3JJDJ7XcEKFCcybYTeYDaigC,3,3,89331348515903950807,89331348515903950807,0
741,70,XDTAqd8vCpX1mDbU6Bb3jjBYBPCb9UiW5DiyAQvDykfkJ7Q,3,3,89331348515903950807,89331348515903950807,0
741,71,aja8WxDTzNkxttWGv4ndFXWgYmfFcvDyE3AQKikrrcPQnTj,3,3,89331348515903950807,89331348515903950807,0
741,73,aRxv5MQtqoYjW3UFV6gxE3TbWuNnXeXLnirLufHVD9LiE4x,3,3,89331348515903950807,89331348515903950807,0
742,0,XdFFaA9S31uQ9upPyKBGXcrYhFN7jtBkDYLDbDfc1VKaV8W,1,1,3265557073525822201731,3265557073525822201731,0
742,1,anXvpdbMqS46xWb4tsF7BAhVwHsbwG3bmMCFQF2ddSsod9g,3,3,92952889671954110975,92952889671954110975,0
742,2,ZRJ4wcGuf9KFqg1NB6wPctUwd7WcHo9LdBFzskEdSqiH52t,3,3,92952889671954110975,92952889671954110975,0
742,3,YJRfL8FvfVLnvnKwvBWr1Bnav1SH4WztHhwspeAD29mt6xa,3,3,92952889671954110975,92952889671954110975,0
742,4,YJqWvgMJcD1Di3BQvZ2W2KnSGKPfJGMVX6BZ9wfEaipviK9,2,3,1169815278184456498666,92952889671954110975,1076862388512502387691
742,5,Zxqwap9tKnSaJuzoGzPrYzf13pZ63XUEngv8nVRxvopnW5N,0,0,7165118578879796054332,7165118578879796054332,0
742,6,b1xCL3XGCjLrS2aZnUifnpuK9gCepGcsWboffjaR4F3tVuP,3,3,92952889671954110975,92952889671954110975,0
742,10,YFZUVr9JRE3AMZ8CTjedJkvv9E7q2jcEvQJ8Y9vBgRYhPWc,3,3,92952889671954110975,92952889671954110975,0
742,11,a4iJiYqsy3LK5KezfiDidVrGgUs5HVdffp7a6roBhVV7cuq,1,1,3265557073525822201731,3265557073525822201731,0
742,12,Wmh1EtzS55Yu7nxMmszk2z7oPwbhDpzVn4v6hAnVTfGHcRY,2,2,1169815278184456498666,1169815278184456498666,0
742,13,aChCmpvZat1Khi1QhnBs93ouXKodCGGNshiLaQ4e6QRRDEQ,1,2,3265557073525822201731,1169815278184456498666,2095741795341365703065
742,14,WT2qJs5x8nfeCu9pry2b49oHAkfJdPuQ6ku9HbLx4z2bbUb,0,0,7165118578879796054332,7165118578879796054332,0
